start,location,dis_group,dis_subgroup,event_name,no_killed,total_affected
00/09/1981,"Niany, Tieney, Sirakoro, ...",Flood, , ,,5000
22/12/1983,Gaoual-Koumbia area,Earthquake (seismic activity),Earthquake (ground shaking), ,275,21436
00/02/1987,Salambande,Epidemic, , ,18,30
00/03/1989, ,Transport Accident,Road, ,17,
15/04/1992,Guf of Guinea,Transport Accident,Water,Ferry,356,
12/08/1993,Gueckedou area,Flood, , ,,6066
24/06/1994,Conakry,Epidemic,Bacterial Infectious Diseases,Cholera,311,24000
00/07/1995,Gulf of Guinea,Transport Accident,Water,Passenger boat,100,
00/02/1998, ,Drought,Drought, ,12,
00/09/1999,Conakri,Epidemic,Bacterial Infectious Diseases,Cholera,12,123
06/10/1999,Kindia,Transport Accident,Road, ,20,25
00/05/2000,Near Kankan,Transport Accident,Road, ,35,
11/06/2000,Conakry,Storm,Local storm, ,4,
22/06/2000,Near Coyah,Transport Accident,Road, ,20,10
12/10/2000,"Mamou, Lab?, Tougu?, Mali ...",Epidemic,Viral Infectious Diseases,Yellow fever,190,322
26/11/2000,Near Mamou,Transport Accident,Road, ,15,6
03/03/2001,Pita,Transport Accident,Road, ,14,20
04/03/2001,Kip? (near Conakry),Transport Accident,Road, ,15,6
09/03/2001,Camp Alpha Yaya Diallo (C ...,Miscellaneous accident,Explosion,Poudri?re,22,
25/03/2001, ,Transport Accident,Water, ,52,
23/04/2001,Near K?rouan,Transport Accident,Road, ,13,17
06/08/2001,N'zerekore region,Epidemic,Bacterial Infectious Diseases,Cholera,12,143
18/08/2001,"Mandiana, Kouroussa, Kank ...",Flood,General flood, ,9,220000
00/01/2002, ,Epidemic,Bacterial Infectious Diseases, ,23,123
20/04/2002,Near Boffa,Transport Accident,Road, ,10,10
15/08/2002,Kolent,Transport Accident,Road, ,25,1
01/01/2003,"Macenta, Kerouane prefect ...",Epidemic,Viral Infectious Diseases,Yellow fever,24,43
10/01/2004,Tamagali (Mamou prefectur ...,Wildfire,Scrub/grassland fire, ,,777
23/05/2004,Kopa,Transport Accident,Road, ,15,16
00/06/2004,"Kindia, Conakry, Siguiri, ...",Epidemic,Bacterial Infectious Diseases,Cholera,100,1092
15/09/2004,Kolanta,Transport Accident,Road, ,18,34
11/04/2005,"Conakry, Boke, Boffa, Coy ...",Epidemic,Bacterial Infectious Diseases,Cholera,72,1884
02/09/2005,Tan?n,Transport Accident,Road, ,10,15
00/01/2006,"Gueckedou, Kissidougou, N ...",Epidemic,Bacterial Infectious Diseases,Cholera,111,173
01/01/2006,Mandiana prefecture (Kank ...,Epidemic,Bacterial Infectious Diseases,Meningococcal Disease,18,125
04/01/2006,Between Bok?-Gaoual (Nort ...,Transport Accident,Road, ,19,30
25/05/2006,Limsam,Transport Accident,Road, ,11,10
31/08/2006,Kindia,Flood,General flood, ,,1200
23/12/2006,Near Kankan,Transport Accident,Road, ,13,10
00/01/2007, ,Epidemic,Bacterial Infectious Diseases,Cholera,90,2410
19/03/2007,Near Gu?ck?dou,Transport Accident,Road,Bridge,70,15
28/03/2007,Near Bonfi coast,Transport Accident,Water, ,46,
00/09/2007,Mamou,Flood,General flood, ,,20685
14/03/2008,Near Conakry,Transport accident,Water, ,14,20
00/07/2008, ,Flood,General Flood, ,,4200
13/11/2008,Near Siguiri,Industrial Accident,Collapse,Gold mine,13,
07/05/2009,Mal?ya (near Siguiri),Industrial Accident,Collapse,Gold mine,13,
03/08/2009,"Conakry, Kindia",Flood,General Flood, ,2,40000
06/07/2010,Conakry,Flood,General Flood, ,7,7615
15/09/2010,"Mamou, Dounet, Labe, Nora ...",Flood,General Flood, ,1,40411
29/11/2010,Near Coyah,Transport accident,Road, ,19,9
00/09/2011,Lab? (city centre); Sigui ...,Flood,General Flood, ,,20143
28/10/2011,Dabondy road,Transport accident,Road, ,20,
00/12/2011,Conakry,Transport accident,Road, ,36,47
02/02/2012,"Conakry, Forecariah, Boff ...",Epidemic,Bacterial Infectious Diseases,Cholera,105,5523
03/03/2012,Moribadou,Transport accident,Road, ,50,27
24/08/2012,Near Kindia,Transport accident,Road, ,10,
31/08/2012,Between Kassa and Conakry ...,Transport accident,Water, ,30,27
22/12/2012,Near Siguiri,Transport accident,Road, ,20,
01/08/2013, ,Flood,General Flood, ,,11106
